twitter_id,twitter_name,twitter_screen_name,location,descriptation,URL,followers_count,followings_count,friends_count,created_at,favourites_count
0,null,null,null,null,null,null,null,null,null,null
89812972,Afton Alps,aftonalpsmn,"Hastings, MN","One of the largest ski and snowboard areas in the Midwest with nearly 300 acres, 48 trails, and 18 chair lifts. Located in the beautiful St. Croix River Valley.",https://t.co/bm5Qm7pD09,3531,473,72,Fri Nov 13 22:46:16 +0000 2009,977
7.71E+17,Al  Quaal,AlQuaal,The Frozen Tundra,,,16,201,0,Thu Sep 01 15:28:42 +0000 2016,1508
9.10E+17,Arctic Valley Inc,arcticvalleyinc,,"""Delivering Service A Degree Above The Rest""""""",,0,0,0,Mon Sep 18 02:31:27 +0000 2017,0
3033687667,Alpental Ski Club,AlpentalSkiClub,Washington State,Ski Club,http://t.co/1sOaMcHOT2,20,0,0,Sat Feb 21 00:23:01 +0000 2015,0
24569387,Squaw Valley Alpine Meadows,squawalpine,"Olympic Valley, California","Lake Tahoe, CA Ski Resort | Voted Best Ski Resort in N. America by USA Today's 10Best Readers' Choice in 2016-2018. 2 Mountains. 6,000 Acres.14 Mountain Zones",http://t.co/euqQqoFh9e,40116,337,867,Sun Mar 15 19:16:38 +0000 2009,4469
874270242,Alpine Valley,AlpineValleySki,"White Lake, MI","Alpine Valley is SE Michigan Mountain of Fun! Perfect source for skiing, snowboarding, slopes! Come see us this winter and bring the family!",http://t.co/D3eZkZBded,455,361,15,Thu Oct 11 20:28:10 +0000 2012,0
189981223,Alta Ski Area,AltaSkiArea,"Alta, Utah",Since 1938. Come for the skiing. Stay for the skiing.  ❄️ #AltaMagic ❄️https://t.co/uoKlMFavS4,https://t.co/0iprEt8N2T,28724,457,441,Sun Sep 12 19:22:30 +0000 2010,7637
2928931351,Alta Sierra Ski Area,Altasierraski,"At the top Alta Sierra, CA.",Alta Sierra Ski Resort & Terrain Park http://t.co/5tzF8rJuVj 760-376-4186,http://t.co/5tzF8rJuVj,592,1167,2,Sat Dec 13 18:49:12 +0000 2014,1270
35872795,Alyeska Resort,resortalyeska,"Girdwood, AK",Some have adventure. Some have luxury. Alyeska Resort has it all. Experience all Alaska has to offer in one rare location. #lastfrontierluxury #alyeskaresort,https://t.co/tKp8HQYKbS,5980,426,229,Mon Apr 27 21:46:47 +0000 2009,85
