Resort Name,,Continent,Country,State/Province,URL,Altitude,Easy(km),Intermediate(km) ,Difficult(km),Adult(ticket),Youth(ticket),Child(ticket),Lifts and cable cars 
49-degrees-north-mountain-resort,49° North Mountain Resort,North America,USA,Washington State,http://www.skiresort.info/ski-resort/49-degrees-north-mountain-resort/,1760,20,27,21,58,0,48,3
abenaki,Wolfeboro Abenaki Ski Area,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/abenaki/,250,0.5,0.3,0.2,0,0,0,
afton-alps,Afton Alps,North America,USA,Minnesota,http://www.skiresort.info/ski-resort/afton-alps/,387,3,3,2,58,0,53,3
al-quaal,Al Quaal Recreation Area,North America,USA,Michigan,http://www.skiresort.info/ski-resort/al-quaal/,451,0.2,0.2,0,0,0,0,
aldis-hill-park-st-albans,Aldis Hill Park,North America,USA,Vermont,http://www.skiresort.info/ski-resort/aldis-hill-park-st-albans/,150,0.2,0.2,0,0,0,0,
alpenglow-at-arctic-valley,Arctic Valley,North America,USA,Alaska,http://www.skiresort.info/ski-resort/alpenglow-at-arctic-valley/,1188,5,10,10,35,30,20,
alpental,Alpental,North America,USA,Washington State,http://www.skiresort.info/ski-resort/alpental/,1670,0.5,2.3,6.8,79,55,15,3.5
alpine-meadows,Alpine Meadows Ski Resort,North America,USA,Western United States,http://www.skiresort.info/ski-resort/alpine-meadows/,2632,25,40,35,159,134,98,4
alpine-valley-cleveland,Alpine Valley,North America,USA,Ohio,http://www.skiresort.info/ski-resort/alpine-valley-cleveland/,457,0.4,0.6,0.5,43,0,38,2.9
alpine-valley-resort-elkhorn,Alpine Valley Resort,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/alpine-valley-resort-elkhorn/,415,1.5,1.5,1,48,0,43,3.5
alpine-valley-white-lake,Alpine Valley,North America,USA,Michigan,http://www.skiresort.info/ski-resort/alpine-valley-white-lake/,368,3,1,1,45,0,35,
alta,Alta Ski Area,North America,USA,Utah,http://www.skiresort.info/ski-resort/alta/,3215,29,46.4,40.6,104,0,54,3.7
alta-sierra-shirley-meadows,Alta Sierra Ski Resort,North America,USA,California,http://www.skiresort.info/ski-resort/alta-sierra-shirley-meadows/,2160,1.3,0.2,0,35,0,25,
alyeska-resort-girdwood,Alyeska Resort & Hotel Alyeska,North America,USA,Alaska,http://www.skiresort.info/ski-resort/alyeska-resort-girdwood/,840,14,31,17,85,68,39,3.5
Campgaw Mountain Ski Area,Campgaw Mountain Ski Area,North America,USA,New Jersey,http://www.skiresort.info/ski-resort/american-dream-meadowlands-east-rutherford/,136,0.3,0,0,0,0,0,1
andes-tower-hills,Andes Tower Hills,North America,USA,Minnesota,http://www.skiresort.info/ski-resort/andes-tower-hills/,494,2.2,1.6,0.2,42,0,30,
angel-fire,Angel Fire Resort,North America,USA,New Mexico,http://www.skiresort.info/ski-resort/angel-fire/,3256,40,28,7,73,63,53,3.9
antelope-butte,Antelope Butte Mountain Recreation Area,North America,USA,Wyoming,http://www.skiresort.info/ski-resort/antelope-butte/,2865,4,10,6,30,25,15,
anthony-lakes-mountain-resort,Ski Anthony Lakes,North America,USA,Oregon,http://www.skiresort.info/ski-resort/anthony-lakes-mountain-resort/,2438,2,3.8,4.2,35,29,21,2.9
apache,Ski Apache,North America,USA,New Mexico,http://www.skiresort.info/ski-resort/apache/,3475,12,18,25,56,49,40,3.4
appalachian-ski-mountain,Appalachian Ski Mtn.,North America,USA,North Carolina,http://www.skiresort.info/ski-resort/appalachian-ski-mountain/,1219,2,2.5,0.5,61,0,42,
Apple Mountain Ski,Apple Mountain Ski,North America,USA,Michigan,http://www.skiresort.info/ski-resort/apple-mountain/,244,0.8,0.8,0.4,35,0,0,
arapahoe-basin,Arapahoe Basin Ski Area,North America,USA,Colorado,http://www.skiresort.info/ski-resort/arapahoe-basin/,3790,40,25,40,100,85,52,3
arizona-snowbowl,Arizona Snowbowl,North America,USA,Arizona,http://www.skiresort.info/ski-resort/arizona-snowbowl/,3505,12,14,11,89,75,55,3.3
