resort_ggid,resort_name,resort_ggsearch_name,resort_geo_lat,resort_geo_lng,resort_loc_street,resort_loc_city,resort_loc_state,resort_loc_zipcode,resort_rating,resort_user_ratings,resort_opening_hours,resort_loc
a06216f0dc734ac7f19c673b47678c70755aae46,49° North Mountain Resort,49-degrees-north-mountain-resort skiresort,48.3010972,-117.5629161,3311 Flowery Trail Rd, Chewelah,WA,99109,4.6,371.0,{'open_now': False},"3311 Flowery Trail Rd, Chewelah, WA 99109, USA"
efdc4393a9008170e1aaddde304b06fbce455f60,Wolfeboro Abenaki Ski Area,abenaki skiresort,43.611548,-71.229107,390 Pine Hill Rd, Wolfeboro,NH,03894,4.7,47.0,,"390 Pine Hill Rd, Wolfeboro, NH 03894, USA"
24b0dd83beeaba95685ced3142809c827cd6b9d4,Afton Alps,afton-alps skiresort,44.8576608,-92.78780619999999,6600 Peller Ave S, Hastings,MN,55033,4.4,801.0,,"6600 Peller Ave S, Hastings, MN 55033, USA"
4b09b61472cd7d3ac2034554bec1c69b458f234b,Al Quaal Recreation Area,al-quaal skiresort,46.5128663,-87.6603544,501 Poplar St, Ishpeming,MI,49849,4.6,100.0,{'open_now': True},"501 Poplar St, Ishpeming, MI 49849, USA"
8881d3f45e0c8e0ba7e935b76588b15db12468ec,Aldis Hill Park,aldis-hill-park-st-albans skiresort,44.8194721,-73.0697422,St Albans City,St Albans City,VT,05478,4.4,25.0,{},"St Albans City, VT 05478, USA"
ea8a431e81a4066b7b1edb5f2cb3d2783d8d14da,Arctic Valley,alpenglow-at-arctic-valley skiresort,61.24672229999999,-149.53491,Arctic Valley Rd, Eagle River,AK,99577,4.4,110.0,{'open_now': False},"Arctic Valley Rd, Eagle River, AK 99577, USA"
9bdb16a2d4324ff973471fa62aa3b88e9695a7f6,Alpental,alpental skiresort,47.444154,-121.4259301,17800 Alpental Access Rd, Snoqualmie Pass,WA,98068,4.7,409.0,{'open_now': False},"17800 Alpental Access Rd, Snoqualmie Pass, WA 98068, USA"
680b1caf2408694ea57e57638279e3846b2384f3,Alpine Meadows Ski Resort,alpine-meadows skiresort,39.1648486,-120.2383987,2600 Alpine Meadows Rd, Alpine Meadows,CA,96146,4.6,583.0,{'open_now': False},"2600 Alpine Meadows Rd, Alpine Meadows, CA 96146, USA"
8dc7eb21a00a40cdb4408b526746c65ee2d1623d,Alpine Valley,alpine-valley-cleveland skiresort,41.52687,-81.259745,10620 Mayfield Rd, Chesterland,OH,44026,4.2,170.0,{'open_now': False},"10620 Mayfield Rd, Chesterland, OH 44026, USA"
5153c2fb511ead5e2164f00ff23c431eb65859cf,Alpine Valley Resort,alpine-valley-resort-elkhorn skiresort,42.7358161,-88.42806929999999,W2501 Co Rd D, Elkhorn,WI,53121,4.4,1364.0,,"W2501 Co Rd D, Elkhorn, WI 53121, USA"
b457a8f22f6e5ddd0e55e718cc959657bae5cb05,Alpine Valley,alpine-valley-white-lake skiresort,42.6529705,-83.5230445,6775 Highland Rd, White Lake,MI,48383,4.3,322.0,{'open_now': False},"6775 Highland Rd, White Lake, MI 48383, USA"
