Resort_Name,google_search_name,Resort_INS_hashtag,twitter_account_name,twitter_screen_name,Continent,Country,State,URL,Altitude,Easy_km,Intermediate_km,Difficult_km,Adult_ticket,Youth_ticket,Child_ticket,Lifts_cables
seven-springs,seven-springs skiresort,sevensprings,Seven Springs ,7SpringPA,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/seven-springs/,915,6,7,4,87,0,67,3.3
afton-alps,afton-alps skiresort,aftonalps,Afton Alps,aftonalpsmn,North America,USA,Minnesota,http://www.skiresort.info/ski-resort/afton-alps/,387,3,3,2,58,0,53,3
points-north-heli-adventures,points-north-heli-adventures skiresort,pointsnorthheliadventures,Points North Heli,Alaskaheliski,North America,USA,Alaska,http://www.skiresort.info/ski-resort/points-north-heli-adventures/,0,0,0,0,0,0,0,null
alpental,alpental skiresort,alpental,Alpental Ski Club,AlpentalSkiClub,North America,USA,Washington State,http://www.skiresort.info/ski-resort/alpental/,1670,0.5,2.3,6.8,79,55,15,3.5
alpine-valley-cleveland,alpine-valley-cleveland skiresort,alpinevalley,Alpine Valley,AlpineValleySki,North America,USA,Ohio,http://www.skiresort.info/ski-resort/alpine-valley-cleveland/,457,0.4,0.6,0.5,43,0,38,2.9
al-quaal,al-quaal skiresort,alquaal,Al Quaal,AlQuaal,North America,USA,Michigan,http://www.skiresort.info/ski-resort/al-quaal/,451,0.2,0.2,0,0,0,0,null
alta-sierra-shirley-meadows,alta-sierra-shirley-meadows skiresort,altasierraskiresort,Alta Sierra Ski Area,Altasierraski,North America,USA,California,http://www.skiresort.info/ski-resort/alta-sierra-shirley-meadows/,2160,1.3,0.2,0,35,0,25,null
alta,alta skiresort,altaskiresort,Alta Ski Area,AltaSkiArea,North America,USA,Utah,http://www.skiresort.info/ski-resort/alta/,3215,29,46.4,40.6,104,0,54,3.7
andes-tower-hills,andes-tower-hills skiresort,andestowerhills,Andes Tower Hills,andestowerhills,North America,USA,Minnesota,http://www.skiresort.info/ski-resort/andes-tower-hills/,494,2.2,1.6,0.2,42,0,30,null
angel-fire,angel-fire skiresort,angelfireskiresort,Angel Fire Resort,AngelFireResort,North America,USA,New Mexico,http://www.skiresort.info/ski-resort/angel-fire/,3256,40,28,7,73,63,53,3.9
antelope-butte,antelope-butte skiresort,antelopebutte,Antelope Butte,AntelopeButte,North America,USA,Wyoming,http://www.skiresort.info/ski-resort/antelope-butte/,2865,4,10,6,30,25,15,null
anthony-lakes-mountain-resort,anthony-lakes-mountain-resort skiresort,anthonylakesmountainresort,Anthony Lakes,anthonylakesmr,North America,USA,Oregon,http://www.skiresort.info/ski-resort/anthony-lakes-mountain-resort/,2438,2,3.8,4.2,35,29,21,2.9
appalachian-ski-mountain,appalachian-ski-mountain skiresort,appalachianskimountain,Appalachian Ski Mtn.,App_Ski_Mtn,North America,USA,North Carolina,http://www.skiresort.info/ski-resort/appalachian-ski-mountain/,1219,2,2.5,0.5,61,0,42,null
arapahoe-basin,arapahoe-basin skiresort,arapahoebasin,Arapahoe Basin,Arapachoe_Basin,North America,USA,Colorado,http://www.skiresort.info/ski-resort/arapahoe-basin/,3790,40,25,40,100,85,52,3
alpenglow-at-arctic-valley,alpenglow-at-arctic-valley skiresort,alpenglow,Arctic Valley Inc,arcticvalleyinc,North America,USA,Alaska,http://www.skiresort.info/ski-resort/alpenglow-at-arctic-valley/,1188,5,10,10,35,30,20,null
