Resort_Name,google_search_name,Resort_INS_hashtag,twitter_id
afton-alps,afton-alps skiresort,aftonalps,89812972
points-north-heli-adventures,points-north-heli-adventures skiresort,pointsnorthheliadventures,44360945
alpental,alpental skiresort,alpental,3033687667
alpine-valley-cleveland,alpine-valley-cleveland skiresort,alpinevalley,874270242
alta-sierra-shirley-meadows,alta-sierra-shirley-meadows skiresort,altasierraskiresort,2928931351
alta,alta skiresort,altaskiresort,189981223
andes-tower-hills,andes-tower-hills skiresort,andestowerhills,1566091680
angel-fire,angel-fire skiresort,angelfireskiresort,26343212
antelope-butte,antelope-butte skiresort,antelopebutte,3829977073
appalachian-ski-mountain,appalachian-ski-mountain skiresort,appalachianskimountain,62696631
mt-ashwabay-salmo,mt-ashwabay-salmo skiresort,mtashwabay,2366415847
attitash-mountain-resort,attitash-mountain-resort skiresort,attitashmountainresort,89988075
arizona-snowbowl,arizona-snowbowl skiresort,arizonasnowbowl,15934541
the-balsams,the-balsams skiresort,thebalsams,56417928
beaver-creek,beaver-creek skiresort,skibeavercreek,19746393
bear-mountain-big-bear-lake,bear-mountain-big-bear-lake skiresort,bearmountainbigbear,19045182
big-sky-resort,big-sky-resort skiresort,bigskyresort,30121042
bittersweet,bittersweet skiresort,bittersweetskiresort,53253822
black-mountain-rumford,black-mountain-rumford skiresort,blackmountainrumford,1009593205
black-mountain-jackson,black-mountain-jackson skiresort,blackmountainjackson,74442505
blue-knob,blue-knob skiresort,blueknob,85319382
blue-mountain,blue-mountain skiresort,skibluemountain,29778407
bogus-basin,bogus-basin skiresort,bogusbasin,17271484
bolton-valley,bolton-valley skiresort,boltonvalley,63158113
boyne-highlands,boyne-highlands skiresort,boynehighlands,612685910
breckenridge,breckenridge skiresort,breckenridge,3598625964
bretton-woods,bretton-woods skiresort,brettonwoods,16274690
bridger-bowl-bozeman,bridger-bowl-bozeman skiresort,bridgerbowlskipatrol,19424229
bristol-mountain,bristol-mountain skiresort,bristolmountain,164331175
bromley-mountain,bromley-mountain skiresort,bromleymountain,28603543
brundage-mountain,brundage-mountain skiresort,brundagemountain,23826103
bryce-resort,bryce-resort skiresort,bryceresort,65491354
buck-hill-ski-area,buck-hill-ski-area skiresort,buckhillskiarea,54642047
buffalo-ski-club,buffalo-ski-club skiresort,buffaloskiclub,2398819873
caberfae-peaks,caberfae-peaks skiresort,caberfaepeaks,87767695
camden-snow-bowl,camden-snow-bowl skiresort,camdensnowbowl,374013881
cannon-mountain,cannon-mountain skiresort,cannonmountain,72880286
cannonsburg-ski-area,cannonsburg-ski-area skiresort,cannonsburgskiarea,201849232
